otu name,Name,k__,p__,c__,o__,f__,g__,s__,superkingdom__,superphylum__,subclass,suborder,subphylum__
OTU_240,uncultured opitutus sp. ,k__bacteria,p__verrucomicrobia,c__opitutae,o__opitutales,f__opitutaceae,g__opitutus,s__opitutus spp.,superkingdom__bacteria,superphylum__chlamydiae/verrucomicrobia group,,,
OTU_241,uncultured bacteroides sp. ,k__bacteria,p__bacteroidetes,c__bacteroidia,o__bacteroidales,f__bacteroidaceae,g__bacteroides,s__bacteroides spp.,superkingdom__bacteria,superphylum__bacteroidetes/chlorobi group,,,
OTU_242,uncultured opitutus sp. ,k__bacteria,p__verrucomicrobia,c__opitutae,o__opitutales,f__opitutaceae,g__opitutus,s__opitutus spp.,superkingdom__bacteria,superphylum__chlamydiae/verrucomicrobia group,,,
OTU_243,uncultured opitutus sp. ,k__bacteria,p__verrucomicrobia,c__opitutae,o__opitutales,f__opitutaceae,g__opitutus,s__opitutus spp.,superkingdom__bacteria,superphylum__chlamydiae/verrucomicrobia group,,,
OTU_244,uncultured prevotella sp. ,k__bacteria,p__bacteroidetes,c__bacteroidia,o__bacteroidales,f__prevotellaceae,g__prevotella,s__prevotella spp.,superkingdom__bacteria,superphylum__bacteroidetes/chlorobi group,,,
OTU_245,rhodoblastus acidophilus ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhizobiales,f__bradyrhizobiaceae,g__rhodoblastus,s__rhodoblastus acidophilus,superkingdom__bacteria,,,,
OTU_246,eu528231.1 seasonal dynamics mudflat mouth major kentucky lake reservoir tributary sediment clone 3.5.6  ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhodospirillales,f__rhodospirillaceae,g__magnetospirillum,s__magnetospirillum sp.,superkingdom__bacteria,,,,
OTU_247,ay297802.1 waterlogged archaeological wood clone pach82  ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhizobiales,f__methylocystaceae,g__pleomorphomonas,s__pleomorphomonas oryzae,superkingdom__bacteria,,,,
OTU_248,uncultured bacteroides sp. ,k__bacteria,p__bacteroidetes,c__bacteroidia,o__bacteroidales,f__bacteroidaceae,g__bacteroides,s__bacteroides spp.,superkingdom__bacteria,superphylum__bacteroidetes/chlorobi group,,,
OTU_249,ay297802.1 waterlogged archaeological wood clone pach82  ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhizobiales,f__methylocystaceae,g__pleomorphomonas,s__pleomorphomonas oryzae,superkingdom__bacteria,,,,
OTU_250,l35502.1 nitrobacter hamburgensis x14 str. nb14  ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhizobiales,f__bradyrhizobiaceae,g__nitrobacter,s__nitrobacter hamburgensis,superkingdom__bacteria,,,,
OTU_251,uncultured cytophaga sp. ,k__bacteria,p__bacteroidetes,c__cytophagia,o__cytophagales,f__cytophagaceae,g__cytophaga,s__cytophaga spp.,superkingdom__bacteria,superphylum__bacteroidetes/chlorobi group,,,
OTU_252,uncultured bacteroides sp. ,k__bacteria,p__bacteroidetes,c__bacteroidia,o__bacteroidales,f__bacteroidaceae,g__bacteroides,s__bacteroides spp.,superkingdom__bacteria,superphylum__bacteroidetes/chlorobi group,,,
OTU_253,rhodopseudomonas palustris ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhizobiales,f__bradyrhizobiaceae,g__rhodopseudomonas,s__rhodopseudomonas palustris,superkingdom__bacteria,,,,
OTU_254,uncultured chelatococcus sp. ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhizobiales,f__beijerinckiaceae,g__chelatococcus,s__chelatococcus spp.,superkingdom__bacteria,,,,
OTU_255,uncultured opitutus sp. ,k__bacteria,p__verrucomicrobia,c__opitutae,o__opitutales,f__opitutaceae,g__opitutus,s__opitutus spp.,superkingdom__bacteria,superphylum__chlamydiae/verrucomicrobia group,,,
OTU_256,uncultured hydrogenophaga sp. ,k__bacteria,p__proteobacteria,c__betaproteobacteria,o__burkholderiales,f__comamonadaceae,g__hydrogenophaga,s__hydrogenophaga spp.,superkingdom__bacteria,,,,
OTU_257,eu528231.1 seasonal dynamics mudflat mouth major kentucky lake reservoir tributary sediment clone 3.5.6  ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhodospirillales,f__rhodospirillaceae,g__magnetospirillum,s__magnetospirillum sp.,superkingdom__bacteria,,,,
OTU_258,eu528231.1 seasonal dynamics mudflat mouth major kentucky lake reservoir tributary sediment clone 3.5.6  ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhodospirillales,f__rhodospirillaceae,g__magnetospirillum,s__magnetospirillum sp.,superkingdom__bacteria,,,,
OTU_259,ay297802.1 waterlogged archaeological wood clone pach82  ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhizobiales,f__methylocystaceae,g__pleomorphomonas,s__pleomorphomonas oryzae,superkingdom__bacteria,,,,
OTU_260,ay297802.1 waterlogged archaeological wood clone pach82  ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhizobiales,f__methylocystaceae,g__pleomorphomonas,s__pleomorphomonas oryzae,superkingdom__bacteria,,,,
OTU_261,eu528231.1 seasonal dynamics mudflat mouth major kentucky lake reservoir tributary sediment clone 3.5.6  ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhodospirillales,f__rhodospirillaceae,g__magnetospirillum,s__magnetospirillum sp.,superkingdom__bacteria,,,,
OTU_262,bradyrhizobium sp. enrichment culture clone mwe_n19 ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhizobiales,f__bradyrhizobiaceae,g__bradyrhizobium,s__bradyrhizobium sp.,superkingdom__bacteria,,,,
OTU_263,uncultured opitutus sp. ,k__bacteria,p__verrucomicrobia,c__opitutae,o__opitutales,f__opitutaceae,g__opitutus,s__opitutus spp.,superkingdom__bacteria,superphylum__chlamydiae/verrucomicrobia group,,,
OTU_264,propionicimonas paludicola ,k__bacteria,p__actinobacteria,c__actinobacteria,o__actinomycetales,f__nocardioidaceae,g__propionicimonas,s__propionicimonas paludicola,superkingdom__bacteria,,subclass  actinobacteridae,suborder__propionibacterineae,
OTU_265,uncultured ancalomicrobium sp. ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhizobiales,f__hyphomicrobiaceae,g__ancalomicrobium,s__ancalomicrobium spp.,superkingdom__bacteria,,,,
OTU_266,uncultured opitutus sp. ,k__bacteria,p__verrucomicrobia,c__opitutae,o__opitutales,f__opitutaceae,g__opitutus,s__opitutus spp.,superkingdom__bacteria,superphylum__chlamydiae/verrucomicrobia group,,,
OTU_267,rhizobium sp. crb31 ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhizobiales,f__rhizobiaceae,g__rhizobium,s__rhizobium sp.,superkingdom__bacteria,,,,
OTU_268,uncultured bacteroides sp. ,k__bacteria,p__bacteroidetes,c__bacteroidia,o__bacteroidales,f__bacteroidaceae,g__bacteroides,s__bacteroides spp.,superkingdom__bacteria,superphylum__bacteroidetes/chlorobi group,,,
OTU_269,eu528231.1 seasonal dynamics mudflat mouth major kentucky lake reservoir tributary sediment clone 3.5.6  ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhodospirillales,f__rhodospirillaceae,g__magnetospirillum,s__magnetospirillum sp.,superkingdom__bacteria,,,,
OTU_270,pleomorphomonas sp. r5_392 ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhizobiales,f__methylocystaceae,g__pleomorphomonas,s__pleomorphomonas sp.,superkingdom__bacteria,,,,
OTU_271,pontibacter sp. swu8 ,k__bacteria,p__bacteroidetes,c__cytophagia,o__cytophagales,f__cytophagaceae,g__pontibacter,s__pontibacter sp.,superkingdom__bacteria,superphylum__bacteroidetes/chlorobi group,,,
OTU_272,dq808485.1 human fecal clone rl239_aaj09b07  ,k__bacteria,p__bacteroidetes,c__bacteroidia,o__bacteroidales,f__porphyromonadaceae,g__parabacteroides,s__parabacteroides distasonis,superkingdom__bacteria,superphylum__bacteroidetes/chlorobi group,,,
OTU_273,pleomorphomonas sp. r5_392 ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhizobiales,f__methylocystaceae,g__pleomorphomonas,s__pleomorphomonas sp.,superkingdom__bacteria,,,,
OTU_274,pontibacter sp. swu8 ,k__bacteria,p__bacteroidetes,c__cytophagia,o__cytophagales,f__cytophagaceae,g__pontibacter,s__pontibacter sp.,superkingdom__bacteria,superphylum__bacteroidetes/chlorobi group,,,
OTU_275,eubacterium sp. oral clone ji012 ,k__bacteria,p__firmicutes,c__clostridia,o__clostridiales,f__eubacteriaceae,g__eubacterium,s__eubacterium sp.,superkingdom__bacteria,,,,
OTU_276,ay297802.1 waterlogged archaeological wood clone pach82  ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhizobiales,f__methylocystaceae,g__pleomorphomonas,s__pleomorphomonas oryzae,superkingdom__bacteria,,,,
OTU_277,bradyrhizobium sp. enrichment culture clone mwe_n19 ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhizobiales,f__bradyrhizobiaceae,g__bradyrhizobium,s__bradyrhizobium sp.,superkingdom__bacteria,,,,
OTU_278,uncultured bacteroides sp. ,k__bacteria,p__bacteroidetes,c__bacteroidia,o__bacteroidales,f__bacteroidaceae,g__bacteroides,s__bacteroides spp.,superkingdom__bacteria,superphylum__bacteroidetes/chlorobi group,,,
OTU_279,rhodoblastus acidophilus ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhizobiales,f__bradyrhizobiaceae,g__rhodoblastus,s__rhodoblastus acidophilus,superkingdom__bacteria,,,,
OTU_280,uncultured opitutus sp. ,k__bacteria,p__verrucomicrobia,c__opitutae,o__opitutales,f__opitutaceae,g__opitutus,s__opitutus spp.,superkingdom__bacteria,superphylum__chlamydiae/verrucomicrobia group,,,
OTU_281,uncultured parabacteroides sp. ,k__bacteria,p__bacteroidetes,c__bacteroidia,o__bacteroidales,f__porphyromonadaceae,g__parabacteroides,s__parabacteroides spp.,superkingdom__bacteria,superphylum__bacteroidetes/chlorobi group,,,
OTU_282,uncultured opitutus sp. ,k__bacteria,p__verrucomicrobia,c__opitutae,o__opitutales,f__opitutaceae,g__opitutus,s__opitutus spp.,superkingdom__bacteria,superphylum__chlamydiae/verrucomicrobia group,,,
OTU_283,ay297802.1 waterlogged archaeological wood clone pach82  ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhizobiales,f__methylocystaceae,g__pleomorphomonas,s__pleomorphomonas oryzae,superkingdom__bacteria,,,,
OTU_284,uncultured escherichia sp. ,k__bacteria,p__proteobacteria,c__gammaproteobacteria,o__enterobacteriales,f__enterobacteriaceae,g__escherichia,s__escherichia spp.,superkingdom__bacteria,,,,
OTU_285,ay654810.1 oculina mucus isolate 76  ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhodospirillales,f__rhodospirillaceae,g__inquilinus,s__inquilinus spp.,superkingdom__bacteria,,,,
OTU_286,methylopila sp. yht_1 ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhizobiales,f__methylocystaceae,g__methylopila,s__methylopila sp.,superkingdom__bacteria,,,,
OTU_287,uncultured opitutus sp. ,k__bacteria,p__verrucomicrobia,c__opitutae,o__opitutales,f__opitutaceae,g__opitutus,s__opitutus spp.,superkingdom__bacteria,superphylum__chlamydiae/verrucomicrobia group,,,
OTU_288,uncultured opitutus sp. ,k__bacteria,p__verrucomicrobia,c__opitutae,o__opitutales,f__opitutaceae,g__opitutus,s__opitutus spp.,superkingdom__bacteria,superphylum__chlamydiae/verrucomicrobia group,,,
OTU_289,uncultured rhodovibrio sp. ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhodospirillales,f__rhodospirillaceae,g__rhodovibrio,s__rhodovibrio spp.,superkingdom__bacteria,,,,
OTU_290,ay323228.1 oribacterium sinus str. aip 354.02  ,k__bacteria,p__firmicutes,c__clostridia,o__clostridiales,f__lachnospiraceae,g__oribacterium,s__oribacterium sinus,superkingdom__bacteria,,,,
OTU_291,aj563935.1 methylococcus capsulatus str. texas = ncimb 11853  ,k__bacteria,p__proteobacteria,c__gammaproteobacteria,o__methylococcales,f__methylococcaceae,g__methylococcus,s__methylococcus capsulatus,superkingdom__bacteria,,,,
OTU_292,uncultured opitutus sp. ,k__bacteria,p__verrucomicrobia,c__opitutae,o__opitutales,f__opitutaceae,g__opitutus,s__opitutus spp.,superkingdom__bacteria,superphylum__chlamydiae/verrucomicrobia group,,,
OTU_293,phaeospirillum sp. ja559 ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhodospirillales,f__rhodospirillaceae,g__phaeospirillum,s__phaeospirillum sp.,superkingdom__bacteria,,,,
OTU_294,uncultured bacteroides sp. ,k__bacteria,p__bacteroidetes,c__bacteroidia,o__bacteroidales,f__bacteroidaceae,g__bacteroides,s__bacteroides spp.,superkingdom__bacteria,superphylum__bacteroidetes/chlorobi group,,,
OTU_295,cu924338.1 towards definition core microorganisms involved digestion mesophilic anaerobic digester which treats municipal wastewater sludge clone  ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhizobiales,f__methylocystaceae,g__pleomorphomonas,s__pleomorphomonas spp.,superkingdom__bacteria,,,,
OTU_296,pseudomonas sp. vt1b ,k__bacteria,p__proteobacteria,c__gammaproteobacteria,o__pseudomonadales,f__pseudomonadaceae,g__pseudomonas,s__pseudomonas sp.,superkingdom__bacteria,,,,
OTU_297,ay297802.1 waterlogged archaeological wood clone pach82  ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhizobiales,f__methylocystaceae,g__pleomorphomonas,s__pleomorphomonas oryzae,superkingdom__bacteria,,,,
OTU_298,ab079634.1 rhodopseudomonas palustris va2_2  ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhizobiales,f__bradyrhizobiaceae,g__rhodopseudomonas,s__rhodopseudomonas palustris,superkingdom__bacteria,,,,
OTU_299,ay297802.1 waterlogged archaeological wood clone pach82  ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhizobiales,f__methylocystaceae,g__pleomorphomonas,s__pleomorphomonas oryzae,superkingdom__bacteria,,,,
OTU_300,uncultured bacteroides sp. ,k__bacteria,p__bacteroidetes,c__bacteroidia,o__bacteroidales,f__bacteroidaceae,g__bacteroides,s__bacteroides spp.,superkingdom__bacteria,superphylum__bacteroidetes/chlorobi group,,,
OTU_301,flexithrix dorotheae ,k__bacteria,p__bacteroidetes,c__cytophagia,o__cytophagales,f__flammeovirgaceae,g__flexithrix,s__flexithrix dorotheae,superkingdom__bacteria,superphylum__bacteroidetes/chlorobi group,,,
OTU_302,eu024179.1 burkholderia ubonensis str. cip 107078  ,k__bacteria,p__proteobacteria,c__betaproteobacteria,o__burkholderiales,f__burkholderiaceae,g__burkholderia,s__burkholderia ubonensis,superkingdom__bacteria,,,,
OTU_303,gq080306.1 topographical and temporal human skin microbiome skin volar forearm clone nbw1186f06c1  ,k__bacteria,p__proteobacteria,c__gammaproteobacteria,o__pseudomonadales,f__moraxellaceae,g__enhydrobacter,s__enhydrobacter aerosaccus,superkingdom__bacteria,,,,
OTU_304,uncultured bacteroides sp. ,k__bacteria,p__bacteroidetes,c__bacteroidia,o__bacteroidales,f__bacteroidaceae,g__bacteroides,s__bacteroides spp.,superkingdom__bacteria,superphylum__bacteroidetes/chlorobi group,,,
OTU_305,ef515194.1 electricigen enrichment mfc upf microbial fuel cell anode clone 21b08  ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhizobiales,f__bradyrhizobiaceae,g__rhodopseudomonas,s__rhodopseudomonas oryzae,superkingdom__bacteria,,,,
OTU_306,gq009695.1 topographical and temporal human skin microbiome skin popliteal fossa clone nbw831g11c1  ,k__bacteria,p__bacteroidetes,c__bacteroidia,o__bacteroidales,f__prevotellaceae,g__prevotella,s__prevotella pallens,superkingdom__bacteria,superphylum__bacteroidetes/chlorobi group,,,
OTU_307,brevundimonas sp. c2e1 ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__caulobacterales,f__caulobacteraceae,g__brevundimonas,s__brevundimonas sp.,superkingdom__bacteria,,,,
OTU_308,uncultured acetobacter sp. ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhodospirillales,f__acetobacteraceae,g__acetobacter,s__acetobacter spp.,superkingdom__bacteria,,,,
OTU_309,uncultured aeromonas sp. ,k__bacteria,p__proteobacteria,c__gammaproteobacteria,o__aeromonadales,f__aeromonadaceae,g__aeromonas,s__aeromonas spp.,superkingdom__bacteria,,,,
OTU_310,tumebacillus sp. lx77 ,k__bacteria,p__firmicutes,c__bacilli,o__bacillales,f__alicyclobacillaceae,g__tumebacillus,s__tumebacillus sp.,superkingdom__bacteria,,,,
OTU_311,uncultured spirochaeta sp. ,k__bacteria,p__spirochaetes,c__spirochaetia,o__spirochaetales,f__spirochaetaceae,g__spirochaeta,s__spirochaeta spp.,superkingdom__bacteria,,,,
OTU_312,phaeospirillum sp. ja559 ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhodospirillales,f__rhodospirillaceae,g__phaeospirillum,s__phaeospirillum sp.,superkingdom__bacteria,,,,
OTU_313,uncultured bacteroides sp. ,k__bacteria,p__bacteroidetes,c__bacteroidia,o__bacteroidales,f__bacteroidaceae,g__bacteroides,s__bacteroides spp.,superkingdom__bacteria,superphylum__bacteroidetes/chlorobi group,,,
OTU_314,uncultured opitutus sp. ,k__bacteria,p__verrucomicrobia,c__opitutae,o__opitutales,f__opitutaceae,g__opitutus,s__opitutus spp.,superkingdom__bacteria,superphylum__chlamydiae/verrucomicrobia group,,,
OTU_315,eu528231.1 seasonal dynamics mudflat mouth major kentucky lake reservoir tributary sediment clone 3.5.6  ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhodospirillales,f__rhodospirillaceae,g__magnetospirillum,s__magnetospirillum sp.,superkingdom__bacteria,,,,
OTU_316,uncultured acetobacter sp. ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhodospirillales,f__acetobacteraceae,g__acetobacter,s__acetobacter spp.,superkingdom__bacteria,,,,
OTU_317,uncultured bacteroides sp. ,k__bacteria,p__bacteroidetes,c__bacteroidia,o__bacteroidales,f__bacteroidaceae,g__bacteroides,s__bacteroides spp.,superkingdom__bacteria,superphylum__bacteroidetes/chlorobi group,,,
OTU_318,uncultured acetobacter sp. ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhodospirillales,f__acetobacteraceae,g__acetobacter,s__acetobacter spp.,superkingdom__bacteria,,,,
OTU_319,uncultured citrobacter sp. ,k__bacteria,p__proteobacteria,c__gammaproteobacteria,o__enterobacteriales,f__enterobacteriaceae,g__citrobacter,s__citrobacter spp.,superkingdom__bacteria,,,,
OTU_320,uncultured opitutus sp. ,k__bacteria,p__verrucomicrobia,c__opitutae,o__opitutales,f__opitutaceae,g__opitutus,s__opitutus spp.,superkingdom__bacteria,superphylum__chlamydiae/verrucomicrobia group,,,
OTU_321,escherichia vulneris ,k__bacteria,p__proteobacteria,c__gammaproteobacteria,o__enterobacteriales,f__enterobacteriaceae,g__escherichia,s__escherichia vulneris,superkingdom__bacteria,,,,
OTU_322,oligotropha carboxidovorans ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhizobiales,f__bradyrhizobiaceae,g__oligotropha,s__oligotropha carboxidovorans,superkingdom__bacteria,,,,
OTU_323,rhodoblastus acidophilus ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhizobiales,f__bradyrhizobiaceae,g__rhodoblastus,s__rhodoblastus acidophilus,superkingdom__bacteria,,,,
OTU_324,uncultured opitutus sp. ,k__bacteria,p__verrucomicrobia,c__opitutae,o__opitutales,f__opitutaceae,g__opitutus,s__opitutus spp.,superkingdom__bacteria,superphylum__chlamydiae/verrucomicrobia group,,,
OTU_325,aj429239.1 sphingomonas faeni str. ma_olki  ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__sphingomonadales,f__sphingomonadaceae,g__sphingomonas,s__sphingomonas faeni,superkingdom__bacteria,,,,
OTU_326,ay297802.1 waterlogged archaeological wood clone pach82  ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhizobiales,f__methylocystaceae,g__pleomorphomonas,s__pleomorphomonas oryzae,superkingdom__bacteria,,,,
OTU_327,uncultured bradyrhizobium sp. ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhizobiales,f__bradyrhizobiaceae,g__bradyrhizobium,s__bradyrhizobium spp.,superkingdom__bacteria,,,,
OTU_328,nc_009485.1 bradyrhizobium sp. str. btai1  ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhizobiales,f__bradyrhizobiaceae,g__bradyrhizobium,s__bradyrhizobium sp.,superkingdom__bacteria,,,,
OTU_329,uncultured ancalomicrobium sp. ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhizobiales,f__hyphomicrobiaceae,g__ancalomicrobium,s__ancalomicrobium spp.,superkingdom__bacteria,,,,
OTU_330,uncultured enterobacter sp. ,k__bacteria,p__proteobacteria,c__gammaproteobacteria,o__enterobacteriales,f__enterobacteriaceae,g__enterobacter,s__enterobacter spp.,superkingdom__bacteria,,,,
OTU_331,cu925720.1 towards definition core microorganisms involved digestion mesophilic anaerobic digester which treats municipal wastewater sludge clone  ,k__bacteria,p__proteobacteria,c__betaproteobacteria,o__rhodocyclales,f__rhodocyclaceae,g__rhodocyclus,s__rhodocyclus tenuis,superkingdom__bacteria,,,,
OTU_332,uncultured bacteroides sp. ,k__bacteria,p__bacteroidetes,c__bacteroidia,o__bacteroidales,f__bacteroidaceae,g__bacteroides,s__bacteroides spp.,superkingdom__bacteria,superphylum__bacteroidetes/chlorobi group,,,
OTU_333,ay297802.1 waterlogged archaeological wood clone pach82  ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhizobiales,f__methylocystaceae,g__pleomorphomonas,s__pleomorphomonas oryzae,superkingdom__bacteria,,,,
OTU_334,uncultured acetobacter sp. ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhodospirillales,f__acetobacteraceae,g__acetobacter,s__acetobacter spp.,superkingdom__bacteria,,,,
OTU_335,rhodoblastus acidophilus ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhizobiales,f__bradyrhizobiaceae,g__rhodoblastus,s__rhodoblastus acidophilus,superkingdom__bacteria,,,,
OTU_336,aj438048.1 corynebacterium tuberculostearicum str. cip102076  ,k__bacteria,p__actinobacteria,c__actinobacteria,o__actinomycetales,f__corynebacteriaceae,g__corynebacterium,s__corynebacterium tuberculostearicum,superkingdom__bacteria,,subclass  actinobacteridae,suborder__corynebacterineae,
OTU_337,uncultured opitutus sp. ,k__bacteria,p__verrucomicrobia,c__opitutae,o__opitutales,f__opitutaceae,g__opitutus,s__opitutus spp.,superkingdom__bacteria,superphylum__chlamydiae/verrucomicrobia group,,,
OTU_338,pseudomonas sp. vt1b ,k__bacteria,p__proteobacteria,c__gammaproteobacteria,o__pseudomonadales,f__pseudomonadaceae,g__pseudomonas,s__pseudomonas sp.,superkingdom__bacteria,,,,
OTU_339,uncultured rhodopseudomonas sp. ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhizobiales,f__bradyrhizobiaceae,g__rhodopseudomonas,s__rhodopseudomonas spp.,superkingdom__bacteria,,,,
OTU_340,clostridium sp. tg60_81 ,k__bacteria,p__firmicutes,c__clostridia,o__clostridiales,f__clostridiaceae,g__clostridium,s__clostridium sp.,superkingdom__bacteria,,,,
OTU_341,bradyrhizobium sp. 1.5_09 ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhizobiales,f__bradyrhizobiaceae,g__bradyrhizobium,s__bradyrhizobium sp.,superkingdom__bacteria,,,,
OTU_342,uncultured opitutus sp. ,k__bacteria,p__verrucomicrobia,c__opitutae,o__opitutales,f__opitutaceae,g__opitutus,s__opitutus spp.,superkingdom__bacteria,superphylum__chlamydiae/verrucomicrobia group,,,
OTU_343,gq032543.1 topographical and temporal human skin microbiome skin volar forearm clone nbw908c01c1  ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhizobiales,f__bradyrhizobiaceae,g__afipia,s__afipia broomeae,superkingdom__bacteria,,,,
OTU_344,fj471664.1 fusobacterium nucleatum str. chdc f332  ,k__bacteria,p__fusobacteria,c__fusobacteriia,o__fusobacteriales,f__fusobacteriaceae,g__fusobacterium,s__fusobacterium nucleatum,superkingdom__bacteria,,,,
OTU_345,barnesiella viscericola dsm 18177 ,k__bacteria,p__bacteroidetes,c__bacteroidia,o__bacteroidales,f__porphyromonadaceae,g__barnesiella,s__barnesiella viscericola,superkingdom__bacteria,superphylum__bacteroidetes/chlorobi group,,,
OTU_346,uncultured opitutus sp. ,k__bacteria,p__verrucomicrobia,c__opitutae,o__opitutales,f__opitutaceae,g__opitutus,s__opitutus spp.,superkingdom__bacteria,superphylum__chlamydiae/verrucomicrobia group,,,
OTU_347,uncultured rhodoplanes sp. ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhizobiales,f__hyphomicrobiaceae,g__rhodoplanes,s__rhodoplanes spp.,superkingdom__bacteria,,,,
OTU_348,enterobacter sp. gntew_13_11 ,k__bacteria,p__proteobacteria,c__gammaproteobacteria,o__enterobacteriales,f__enterobacteriaceae,g__enterobacter,s__enterobacter sp.,superkingdom__bacteria,,,,
OTU_349,rhodoblastus acidophilus ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhizobiales,f__bradyrhizobiaceae,g__rhodoblastus,s__rhodoblastus acidophilus,superkingdom__bacteria,,,,
OTU_350,uncultured steroidobacter sp. ,k__bacteria,p__proteobacteria,c__gammaproteobacteria,o__xanthomonadales,f__sinobacteraceae,g__steroidobacter,s__steroidobacter spp.,superkingdom__bacteria,,,,
OTU_351,eubacterium sp. oral clone ji012 ,k__bacteria,p__firmicutes,c__clostridia,o__clostridiales,f__eubacteriaceae,g__eubacterium,s__eubacterium sp.,superkingdom__bacteria,,,,
OTU_352,uncultured opitutus sp. ,k__bacteria,p__verrucomicrobia,c__opitutae,o__opitutales,f__opitutaceae,g__opitutus,s__opitutus spp.,superkingdom__bacteria,superphylum__chlamydiae/verrucomicrobia group,,,
OTU_353,uncultured spirochaeta sp. ,k__bacteria,p__spirochaetes,c__spirochaetia,o__spirochaetales,f__spirochaetaceae,g__spirochaeta,s__spirochaeta spp.,superkingdom__bacteria,,,,
OTU_354,uncultured opitutus sp. ,k__bacteria,p__verrucomicrobia,c__opitutae,o__opitutales,f__opitutaceae,g__opitutus,s__opitutus spp.,superkingdom__bacteria,superphylum__chlamydiae/verrucomicrobia group,,,
OTU_355,uncultured enterobacter sp. ,k__bacteria,p__proteobacteria,c__gammaproteobacteria,o__enterobacteriales,f__enterobacteriaceae,g__enterobacter,s__enterobacter spp.,superkingdom__bacteria,,,,
OTU_356,uncultured bacteroides sp. ,k__bacteria,p__bacteroidetes,c__bacteroidia,o__bacteroidales,f__bacteroidaceae,g__bacteroides,s__bacteroides spp.,superkingdom__bacteria,superphylum__bacteroidetes/chlorobi group,,,
OTU_357,cp000463.1 rhodopseudomonas palustris str. bisa53  ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhizobiales,f__bradyrhizobiaceae,g__rhodopseudomonas,s__rhodopseudomonas palustris,superkingdom__bacteria,,,,
OTU_358,prevotella sp. oral clone do039 ,k__bacteria,p__bacteroidetes,c__bacteroidia,o__bacteroidales,f__prevotellaceae,g__prevotella,s__prevotella sp.,superkingdom__bacteria,superphylum__bacteroidetes/chlorobi group,,,
